img_path,"summary",question_resolution,"question",answer_resolution,"abstractive_answer","extractive_answer","decontextualizated_text_added","decontextualizated_text_removed","abstractive_text_added","abstractive_text_removed","extra_added_text","title","original_answer"
mturk_charts/no_data_remaining/multi_col/2835.png,"A third of the public ( 33 % ) says they followed news about military air strikes in Libya by the U.S. and its allies very closely last week . By contrast , 50 % say they followed news about the aftermath of the Japanese disasters very closely . The survey was completed before President Obama addressed the nation Monday night about the mission in Libya . The current level of interest in Libya is no higher than interest in news about the nation ’s economy ( 36 % very closely ) . But economic news accounted for only 6 % of coverage . In other news , 11 % say they followed news about the death of actress Elizabeth Taylor very closely ; 3 % say this was their top story . News about the movie star ’s death accounted for 7 % of coverage . Similar percentages followed news about the 2012 presidential candidates , though this story received less coverage ; 13 % say they followed news about the elections very closely , while 2 % say this was the news they followed most closely . News about the early positioning garnered just 2 % of coverage .",same,"How are the social standards reflected on the news?",same,"A third of the public ( 33 % ) says they followed news about military air strikes in Libya by the U.S. and its allies very closely last week . By contrast , 50 % say they followed news about the aftermath of the Japanese disasters very closely . The current level of interest in Libya is no higher than interest in news about the nation ’s economy ( 36 % very closely ) . In other news , 11 % say they followed news about the death of actress Elizabeth Taylor very closely ; 3 % say this was their top story . Similar percentages followed news about the 2012 presidential candidates , though this story received less coverage ; 13 % say they followed news about the elections very closely , while 2 % say this was the news they followed most closely .","A third of the public ( 33 % ) says they followed news about military air strikes in Libya by the U.S. and its allies very closely last week . By contrast , 50 % say they followed news about the aftermath of the Japanese disasters very closely . The current level of interest in Libya is no higher than interest in news about the nation ’s economy ( 36 % very closely ) . In other news , 11 % say they followed news about the death of actress Elizabeth Taylor very closely ; 3 % say this was their top story . Similar percentages followed news about the 2012 presidential candidates , though this story received less coverage ; 13 % say they followed news about the elections very closely , while 2 % say this was the news they followed most closely .","","survey completed before President Obama addressed Monday night mission But economic accounted for only 6 News movie star accounted for 7 News early positioning garnered just","",""," ","News Interest % following each story very closely","A third of the public ( 33 % ) says they followed news about military air strikes in Libya by the U.S. and its allies very closely last week . By contrast , 50 % say they followed news about the aftermath of the Japanese disasters very closely . The survey was completed before President Obama addressed the nation Monday night about the mission in Libya . The current level of interest in Libya is no higher than interest in news about the nation ’s economy ( 36 % very closely ) . But economic news accounted for only 6 % of coverage . In other news , 11 % say they followed news about the death of actress Elizabeth Taylor very closely ; 3 % say this was their top story . News about the movie star ’s death accounted for 7 % of coverage . Similar percentages followed news about the 2012 presidential candidates , though this story received less coverage ; 13 % say they followed news about the elections very closely , while 2 % say this was the news they followed most closely . News about the early positioning garnered just 2 % of coverage ."
mturk_charts/no_data_remaining/multi_col/2837.png,"While coverage of the presidential campaign accounted for 7 % of newshole , on average , during the first 10 weeks of 2007 , so far in 2011 , campaign news has accounted for just 1 % of coverage , according to the Pew Research Center ’s Project for Excellence in Journalism .",same,"According to the Pew Research Center's Project for Excellence in Journalism, could it exist someone as excellent as them?",same,"While coverage of the presidential campaign accounted for 7 % of newshole , on average , during the first 10 weeks of 2007 , so far in 2011 , campaign news has accounted for just 1 % of coverage , according to the Pew Research Center ’s Project for Excellence in Journalism","While coverage of the presidential campaign accounted for 7 % of newshole , on average , during the first 10 weeks of 2007 , so far in 2011 , campaign news has accounted for just 1 % of coverage , according to the Pew Research Center ’s Project for Excellence in Journalism","","","",""," ","Campaign Ramp Coverage Has Yet To Ramp Up devoted Percent of news coverage lential campaign devoted to presid coverage lential campaign","While coverage of the presidential campaign accounted for 7 % of newshole , on average , during the first 10 weeks of 2007 , so far in 2011 , campaign news has accounted for just 1 % of coverage , according to the Pew Research Center ’s Project for Excellence in Journalism"
mturk_charts/no_data_remaining/multi_col/2838.png,"Nearly seven - in - ten Americans ( 69 % ) hold a favorable view of First Lady Michelle Obama ; just 21 % hold an unfavorable view . Michelle Obama ’s favorability rating has rebounded from a modest dip in December 2010 and now matches her rating from June 2010 .",same,"How was Michelle Obama seen among Americans?",same,"Nearly seven - in - ten Americans ( 69 % ) hold a favorable view of Michelle Obama ; just 21 % hold an unfavorable view . Michelle Obama ’s favorability rating has rebounded from a modest dip and now matches her rating from 2010 .","Nearly seven - in - ten Americans ( 69 % ) hold a favorable view of Michelle Obama ; just 21 % hold an unfavorable view . Michelle Obama ’s favorability rating has rebounded from a modest dip and now matches her rating from 2010 .","","First Lady December June","",""," ","Michelle Obama Favorability","Nearly seven - in - ten Americans ( 69 % ) hold a favorable view of First Lady Michelle Obama ; just 21 % hold an unfavorable view . Michelle Obama ’s favorability rating has rebounded from a modest dip in December 2010 and now matches her rating from June 2010 ."
mturk_charts/no_data_remaining/multi_col/2839.png,"Bill Clinton‘s favorability rating has rebounded since February 2008 to match all - time highs . In the current survey , 67 % hold a favorable opinion of the former president , while 29 % have an unfavorable view . Since February 2008 – during the contentious Democratic primary battle between Hillary Clinton and Barack Obama – Bill Clinton ’s overall favorability ratings have climbed 15 points .",same,"Explain the Public opinion about Bill Clinton?",answer1,"Bill Clinton‘s favorability rating has rebounded to match all - time highs . In the current survey , 67 % hold a favorable opinion of the former president , while 29 % have an unfavorable view . Since 2008 Bill Clinton ’s overall favorability ratings have climbed 15 points .","Bill Clinton‘s favorability rating has rebounded to match all - time highs . In the current survey , 67 % hold a favorable opinion of the former president , while 29 % have an unfavorable view . Since 2008 Bill Clinton ’s overall favorability ratings have climbed 15 points .","Clinton‘s rating has rebounded to match all - time highs","February – during contentious Democratic primary battle between Hillary and Barack Obama –","",""," ","Bill Clinton's Favorability Favorable","In the current survey , 67 % hold a favorable opinion of the former president , while 29 % have an unfavorable view . Since February 2008 – during the contentious Democratic primary battle between Hillary Clinton and Barack Obama – Bill Clinton ’s overall favorability ratings have climbed 15 points"
mturk_charts/no_data_remaining/multi_col/2840.png,"George W. Bush continues to be viewed more unfavorably ( 54 % ) than favorably ( 42 % ) ; however this rating reflects a modest improvement in views and marks the first time in several years that Bush ’s favorability has edged into the 40s .",same,"Describe the Public view for George W. Bush?",same,"George W. Bush continues to be viewed more unfavorably ( 54 % ) than favorably ( 42 % ) ; however this rating reflects a modest improvement in views and marks the first time in several years that Bush ’s favorability has edged into the 40s .","George W. Bush continues to be viewed more unfavorably ( 54 % ) than favorably ( 42 % ) ; however this rating reflects a modest improvement in views and marks the first time in several years that Bush ’s favorability has edged into the 40s .","","","",""," ","George W. Bush's Favorability Unfavorable","George W. Bush continues to be viewed more unfavorably ( 54 % ) than favorably ( 42 % ) ; however this rating reflects a modest improvement in views and marks the first time in several years that Bush ’s favorability has edged into the 40s ."
mturk_charts/no_data_remaining/multi_col/2842.png,"With most of the survey completed before airstrikes on Libya were launched by U.S. and allied forces , public interest in developments in Libya remained modest . About a quarter ( 26 % ) say they followed the conflict between rebels and government forces there very closely ; 5 % say this was the news they followed most closely . News about unrest in the Middle East accounted for 17 % of coverage . Most of that ( 13 % ) focused on Libya . The public continued to closely track economy news . Nearly half ( 46 % ) say they very closely followed news about the rising price of gas and oil . Nearly four - in - ten ( 38 % ) say they very closely followed news about the economy . Few , though , say they followed either news about fuel prices or the economy in general more closely than any other news last week . About one - in - ten ( 11 % ) say they followed oil and gas price news most closely and 5 % say they followed economic news most closely . News about gas prices and the economy more generally received little coverage .",same,"Explain the public interest in the news?",answer1,"public interest in developments in Libya remained modest . About a quarter ( 26 % ) say they followed the conflict between rebels and government forces there very closely ; 5 % say this was the news they followed most closely . The public continued to closely track economy news . Nearly half ( 46 % ) say they very closely followed news about the rising price of gas and oil . Nearly four - in - ten ( 38 % ) say they very closely followed news about the economy . Few , though , say they followed either news about fuel prices or the economy in general more closely than any other news last week . About one - in - ten ( 11 % ) say they followed oil and gas price news most closely and 5 % say they followed economic news most closely .","public interest in developments in Libya remained modest . About a quarter ( 26 % ) say they followed the conflict between rebels and government forces there very closely ; 5 % say this was the news they followed most closely . The public continued to closely track economy news . Nearly half ( 46 % ) say they very closely followed news about the rising price of gas and oil . Nearly four - in - ten ( 38 % ) say they very closely followed news about the economy . Few , though , say they followed either news about fuel prices or the economy in general more closely than any other news last week . About one - in - ten ( 11 % ) say they followed oil and gas price news most closely and 5 % say they followed economic news most closely .","","News unrest Middle East accounted for 17 coverage Most that 13 focused on","",""," ","News Interest","public interest in developments in Libya remained modest . About a quarter ( 26 % ) say they followed the conflict between rebels and government forces there very closely ; 5 % say this was the news they followed most closely . News about unrest in the Middle East accounted for 17 % of coverage . Most of that ( 13 % ) focused on Libya . The public continued to closely track economy news . Nearly half ( 46 % ) say they very closely followed news about the rising price of gas and oil . Nearly four - in - ten ( 38 % ) say they very closely followed news about the economy . Few , though , say they followed either news about fuel prices or the economy in general more closely than any other news last week . About one - in - ten ( 11 % ) say they followed oil and gas price news most closely and 5 % say they followed economic news most closely ."
mturk_charts/no_data_remaining/multi_col/2843.png,"Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) .",same,"What is the public reaction over increased use of nuclear power?",same,"Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) .","Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) .","","","",""," ","Use Most of Now Nuclear Oppose Power the Increased Use of Nuclear Oppose Power","Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) ."
mturk_charts/no_data_remaining/multi_col/2844.png,"Public views of allowing increased offshore oil and gas drilling shifted noticeably last year in response to the Gulf oil leak . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) .",same,"Comment on the increasing support by public regarding offshore drilling.",same,"Public views of allowing increased offshore oil and gas drilling shifted noticeably last year . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) .","Public views of allowing increased offshore oil and gas drilling shifted noticeably last year . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) .","","response to the Gulf leak","",""," ","Increased Offshore Drilling Support for More Increased Offshore Drilling Support","Public views of allowing increased offshore oil and gas drilling shifted noticeably last year in response to the Gulf oil leak . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) ."
mturk_charts/no_data_remaining/multi_col/2845.png,"Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) .",same,"Over the past years, what is the opinion of people regarding increased use of nuclear power?",answer1,"Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) .","Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) .","","","",""," ","Most of Now Nuclear Oppose the Increased Use of Nuclear Oppose Power","Opinion about expanding the use of nuclear power has fluctuated in recent years . However , the current measure matches a previous low in support for increased nuclear power recorded in September 2005 ( 39 % favor , 53 % oppose ) ."
mturk_charts/no_data_remaining/multi_col/2846.png,"Public views of allowing increased offshore oil and gas drilling shifted noticeably last year in response to the Gulf oil leak . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) .",same,"What is the public opinion on offshore oil and gas drilling?",answer2,"Public views of allowing increased offshore oil and gas drilling shifted noticeably last year in response to the Gulf oil leak . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) .","Public views of allowing increased offshore oil and gas drilling shifted noticeably last year in response to the Gulf oil leak . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) .","","","",""," ","Increased Offshore Drilling Support for More Increased Offshore Drilling Support","Public views of allowing increased offshore oil and gas drilling shifted noticeably last year in response to the Gulf oil leak . Since last summer , they have shifted again . Currently , 57 % favor allowing more oil and gas drilling in U.S. waters , up 13 points since last June ( 44 % ) . Nonetheless , support for expanded offshore drilling remains lower than in February 2010 ( 63 % ) ."
