img_path,"summary",question_resolution,"question",answer_resolution,"abstractive_answer","extractive_answer","decontextualizated_text_added","decontextualizated_text_removed","abstractive_text_added","abstractive_text_removed","extra_added_text","title","original_answer"
mturk_charts/no_data_remaining/multi_col/2871.png,"In a week dominated by news about the Tucson shootings , Americans continued to track news about the economy . Nearly four - in - ten ( 37 % ) say they followed economic news very closely , a level that has changed only slightly in recent weeks . Still , just 12 % say this was the news they followed most closely . About a third ( 35 % ) say they followed news about winter storms in the eastern United States very closely ; 16 % say this was the news they followed most closely . Not surprisingly , interest was highest in the north east and the south . More than one - in - ten ( 13 % ) say they followed news about floods in Australia very closely ; 3 % say this was the news they followed most closely . Two other breaking foreign stories barely registered with the public . Just 4 % say they followed news about the collapse of the Lebanese government very closely ; 1 % says this was the news they followed most closely . And 3 % say they followed news about the independence vote in southern Sudan very closely . Less than 1 % say this was the story they followed most closely .",same,"Discuss some top news headlines that people followed most closely?",answer2,"The economic news , just 12 % say this was the news they followed most closely . Winter storms ; 16 % say this was the news they followed most closely . Floods in Australia ; 3 % say this was the news they followed most closely . The collapse of the Lebanese government ; 1 % says this was the news they followed most closely .","the economic news , just 12 % say this was the news they followed most closely . winter storms ; 16 % say this was the news they followed most closely . floods in Australia ; 3 % say this was the news they followed most closely . the collapse of the Lebanese government ; 1 % says this was the news they followed most closely .",",","Nearly four - - ten ( 37 ) very About a third ( 35 ) about eastern United States very More than one - - ten ( 13 ) about very Just 4 about very And about independence vote southern Sudan very Less than story","The Winter Floods The","winter floods"," ","News Interest vs. News Coverage News Interest Ariz. shooting","Nearly four - in - ten ( 37 % ) say they followed economic news very closely just 12 % say this was the news they followed most closely . About a third ( 35 % ) say they followed news about winter storms in the eastern United States very closely ; 16 % say this was the news they followed most closely . More than one - in - ten ( 13 % ) say they followed news about floods in Australia very closely ; 3 % say this was the news they followed most closely . Just 4 % say they followed news about the collapse of the Lebanese government very closely ; 1 % says this was the news they followed most closely . And 3 % say they followed news about the independence vote in southern Sudan very closely . Less than 1 % say this was the story they followed most closely ."
mturk_charts/no_data_remaining/multi_col/2872.png,"About a third ( 35 % ) say they followed news about winter storms in the eastern United States very closely ; 16 % say this was the news they followed most closely . Not surprisingly , interest was highest in the north east and the south . More than one - in - ten ( 13 % ) say they followed news about floods in Australia very closely ; 3 % say this was the news they followed most closely . Two other breaking foreign stories barely registered with the public . Just 4 % say they followed news about the collapse of the Lebanese government very closely ; 1 % says this was the news they followed most closely . And 3 % say they followed news about the independence vote in southern Sudan very closely . Less than 1 % say this was the story they followed most closely .",same,"Comment on distribution of public news interests?",same,"About a third ( 35 % ) say they followed news about winter storms in the eastern United States very closely . More than one - in - ten ( 13 % ) say they followed news about floods in Australia very closely . Just 4 % say they followed news about the collapse of the Lebanese government very closely . And 3 % say they followed news about the independence vote in southern Sudan very closely .","About a third ( 35 % ) say they followed news about winter storms in the eastern United States very closely . More than one - in - ten ( 13 % ) say they followed news about floods in Australia very closely . Just 4 % say they followed news about the collapse of the Lebanese government very closely . And 3 % say they followed news about the independence vote in southern Sudan very closely .","More than one - - ten 13 floods Australia Just 4 collapse of Lebanese government And 3 independence vote southern Sudan","; 16 this was most","",""," ","News Interest % following each story closely Which one story did you follow most closely?","About a third ( 35 % ) say they followed news about winter storms in the eastern United States very closely ; 16 % say this was the news they followed most closely ."
mturk_charts/no_data_remaining/multi_col/2873.png,"The survey asked group members whether they had done several core activities with their group in the past 30 days and internet users were significantly more likely to have done all of these activities .",same,"Compare internet and non-internet users based on their activeness in the given programs?",answer2,"In the past 30 days internet users were significantly more likely to have done all of these activities .","in the past 30 days internet users were significantly more likely to have done all of these activities .","in the past 30 days","","In","in"," ","Internet users are more active in their groups than non-users In the past 30 days, have you... Attended meetings or events for","internet users were significantly more likely to have done all of these activities ."
mturk_charts/no_data_remaining/multi_col/2874.png,"The percentage of all American adults who use Wikipedia to look for information has increased from 25 % in February 2007 to 42 % in May 2010 , a 17 percentage point increase . The proportion of adults who use the internet over that same time period grew at a more modest rate , from 71 % to 79 % of all adults .",same,"How can the growth in the use of wikipedia for information and the use of the internet in general be described?",answer2,"The percentage of all American adults who use Wikipedia to look for information has increased from 25 % in February 2007 to 42 % in May 2010 , a 17 percentage point increase . The proportion of adults who use the internet over that same time period grew at a more modest rate , from 71 % to 79 % of all adults .","The percentage of all American adults who use Wikipedia to look for information has increased from 25 % in February 2007 to 42 % in May 2010 , a 17 percentage point increase . The proportion of adults who use the internet over that same time period grew at a more modest rate , from 71 % to 79 % of all adults .","proportion the internet over that same time period grew at more modest rate 71 79","","",""," ","Wikipedia users, 2007 2010 Percentages are based on all American adults age 18 and older.","The percentage of all American adults who use Wikipedia to look for information has increased from 25 % in February 2007 to 42 % in May 2010 , a 17 percentage point increase ."
mturk_charts/no_data_remaining/multi_col/2875.png,"The Pew Research Center has tracked attitudes about this issue since 1993 . In September , public opinion was divided : 50 % said it was more important to control gun ownership while 46 % said it was more important to protect the rights of Americans to own guns .",same,"How is public opinion divided on the issue of gun ownership?",same,"50 % said it was more important to control gun ownership while 46 % said it was more important to protect the rights of Americans to own guns .","50 % said it was more important to control gun ownership while 46 % said it was more important to protect the rights of Americans to own guns .","","","",""," ","Public Divided About Gun Control Control gun ownership","50 % said it was more important to control gun ownership while 46 % said it was more important to protect the rights of Americans to own guns ."
mturk_charts/no_data_remaining/multi_col/2876.png,"American views of China are not extreme in a global perspective . A 2010 Pew Global Attitudes Project survey found roughly half of Americans expressing a favorable opinion of China , while 36 % said they felt unfavorably . In that survey , attitudes toward China were far more negative in France , Germany and Turkey , as well as among the publics of some of China ’s neighbors , such as Japan , South Korea and India . By contrast , China is viewed in an overwhelmingly favorable light in places like Kenya and Nigeria ( where the U.S. is also viewed very favorably ) as well as in Pakistan ( where opinions of the U.S. are mostly negative ) .",same,"What is the opinion of different countries about China?",same,"A 2010 Pew Global Attitudes Project survey found roughly half of Americans expressing a favorable opinion of China , while 36 % said they felt unfavorably . In that survey , attitudes toward China were far more negative in France , Germany and Turkey , as well as among the publics of some of China ’s neighbors , such as Japan , South Korea and India . By contrast , China is viewed in an overwhelmingly favorable light in places like Kenya and Nigeria as well as in Pakistan .","A 2010 Pew Global Attitudes Project survey found roughly half of Americans expressing a favorable opinion of China , while 36 % said they felt unfavorably . In that survey , attitudes toward China were far more negative in France , Germany and Turkey , as well as among the publics of some of China ’s neighbors , such as Japan , South Korea and India . By contrast , China is viewed in an overwhelmingly favorable light in places like Kenya and Nigeria as well as in Pakistan .","","( where U.S. also very favorably ) ( where opinions U.S. are mostly )","",""," ","Views of China Unfavorable Favorable Kenya 29 60","A 2010 Pew Global Attitudes Project survey found roughly half of Americans expressing a favorable opinion of China , while 36 % said they felt unfavorably . In that survey , attitudes toward China were far more negative in France , Germany and Turkey , as well as among the publics of some of China ’s neighbors , such as Japan , South Korea and India . By contrast , China is viewed in an overwhelmingly favorable light in places like Kenya and Nigeria ( where the U.S. is also viewed very favorably ) as well as in Pakistan ( where opinions of the U.S. are mostly negative ) ."
mturk_charts/no_data_remaining/multi_col/2877.png,"Public perceptions of the tone of economic news have become much less negative over the past month . In fact , the percentage saying they are hearing mostly bad news about the economy has dropped to its lowest point since the question was first asked in December 2008 . Currently , 24 % say they are hearing mostly bad news , down 15 points from 39 % in early December . The proportion saying they are hearing a mix of good and bad news has jumped from 55 % last month to 68 % in the new survey . However , as has been the case for the past two years , very few say they are hearing mostly good economic news ; just 7 % say this , which is little changed from 4 % in December .",same,"What are the trends in public rating on economic news?",answer2,"Currently , 24 % say they are hearing mostly bad news , down 15 points from 39 % in early December . The proportion saying they are hearing a mix of good and bad news has jumped from 55 % last month to 68 % in the new survey . However , as has been the case for the past two years , very few say they are hearing mostly good economic news ; just 7 % say this , which is little changed from 4 % in December .","Currently , 24 % say they are hearing mostly bad news , down 15 points from 39 % in early December . The proportion saying they are hearing a mix of good and bad news has jumped from 55 % last month to 68 % in the new survey . However , as has been the case for the past two years , very few say they are hearing mostly good economic news ; just 7 % say this , which is little changed from 4 % in December .","","","",""," ","Fewer Hearing Mostly Bad' Economic News Mix of good and bad news","Currently , 24 % say they are hearing mostly bad news , down 15 points from 39 % in early December . The proportion saying they are hearing a mix of good and bad news has jumped from 55 % last month to 68 % in the new survey . However , as has been the case for the past two years , very few say they are hearing mostly good economic news ; just 7 % say this , which is little changed from 4 % in December"
mturk_charts/no_data_remaining/multi_col/2880.png,"At their peak , each of these stories dominated press coverage – accounting for more than 40 % of the newshole in a single week . And at these moments , public interest was commensurately high . Fully 66 % of Americans said they were following the debate over health care more closely than any other news the week of March 22 - 28 , and 63 % were focused on the oil spill in the Gulf of Mexico the week of June 14 - 20 . Immediately following the earthquake in Haiti , 57 % of Americans followed news about the aftermath more closely than any other story , and in the week following the 2010 midterms , 43 % of Americans said that was their top news interest .",same,"What are trends in public interest on the Haiti Quake?",answer2,"Immediately following the earthquake in Haiti , 57 % of Americans followed news about the aftermath more closely than any other story .","Immediately following the earthquake in Haiti , 57 % of Americans followed news about the aftermath more closely than any other story .","","Fully 66 said they were debate over health care week March 22 - 28 and 63 were focused on oil spill Gulf Mexico week June 14 - 20 and week 2010 midterms 43 said that was their top interest","",""," ","Haiti Quake: Interest and Coverage % Followed most closely","Fully 66 % of Americans said they were following the debate over health care more closely than any other news the week of March 22 - 28 , and 63 % were focused on the oil spill in the Gulf of Mexico the week of June 14 - 20 . Immediately following the earthquake in Haiti , 57 % of Americans followed news about the aftermath more closely than any other story , and in the week following the 2010 midterms , 43 % of Americans said that was their top news interest"
mturk_charts/no_data_remaining/multi_col/2881.png,"Similarly , over the entire course of 2010 1 % of news coverage was devoted to Iraq events and policy debates , and in no week did Iraq consume more than 10 % of the newshole . Public interest in Iraq news was also modest – in the ten weeks in which public interest in Iraq - related news was tested , roughly a quarter of Americans said they were following “ very closely ” , but about one - in - ten rated it as the top story they followed most closely . The exception to this came in early September , when 17 % said they were following news about the withdrawal of U.S. troops from Iraq more closely than any other story .",same,"Describe trends in interest on Iraq events?",same,"News coverage was devoted to Iraq events , and in no week did Iraq consume more than 10 % of the newshole . In early September , 17 % said they were following news about the withdrawal of U.S. troops from Iraq more closely than any other story .","news coverage was devoted to Iraq events , and in no week did Iraq consume more than 10 % of the newshole . in early September , 17 % said they were following news about the withdrawal of U.S. troops from Iraq more closely than any other story .","","Similarly over entire course 2010 1 policy debates Public interest also modest – ten weeks which public interest - related tested roughly a quarter Americans “ very ” but one - - ten rated it as top followed most The exception this came when","News In",""," ","Iraq Interest fand Coverage % Followed most closely % of news coverage","Similarly , over the entire course of 2010 1 % of news coverage was devoted to Iraq events and policy debates , and in no week did Iraq consume more than 10 % of the newshole . Public interest in Iraq news was also modest – in the ten weeks in which public interest in Iraq - related news was tested , roughly a quarter of Americans said they were following “ very closely ” , but about one - in - ten rated it as the top story they followed most closely . The exception to this came in early September , when 17 % said they were following news about the withdrawal of U.S. troops from Iraq more closely than any other story"
mturk_charts/no_data_remaining/multi_col/2883.png,"The internet is slowly closing in on television as Americans ’ main source of national and international news . Currently , 41 % say they get most of their news about national and international news from the internet , which is little changed over the past two years but up 17 points since 2007 . Television remains the most widely used source for national and international news – 66 % of Americans say it is their main source of news – but that is down from 74 % three years ago and 82 % as recently as 2002 . The national survey by the Pew Research Center for the People & amp ; the Press , conducted Dec. 1 - 5 , 2010 among 1,500 adults reached on cell phones and landlines , finds that more people continue to cite the internet than newspapers as their main source of news , reflecting both the growth of the internet , and the gradual decline in newspaper readership ( from 34 % in 2007 to 31 % now ) . The proportion citing radio as their main source of national and international news has remained relatively stable in recent years ; currently , 16 % say it is their main source .",same,"Compare television, internet based on their usage for getting news?",answer2,"Currently , 41 % say they get most of their news about national and international news from the internet . Television remains the most widely used source for national and international news – 66 % of Americans say it is their main source of news .","Currently , 41 % say they get most of their news about national and international news from the internet . Television remains the most widely used source for national and international news – 66 % of Americans say it is their main source of news .","","People & amp ; Press conducted Dec. 1 - 5 2010 among 1,500 adults reached on cell phones landlines finds that more people continue to cite than newspapers as reflecting both growth gradual decline in newspaper readership ( 34 in 2007 to 31 now ) The proportion citing radio as has remained relatively stable in recent years ; currently 16","",""," ","Where Do You National Get Most of your Where News About You National and International Issues? 82 80","Currently , 41 % say they get most of their news about national and international news from the internet Television remains the most widely used source for national and international news – 66 % of Americans say it is their main source of news People & amp ; the Press , conducted Dec. 1 - 5 , 2010 among 1,500 adults reached on cell phones and landlines , finds that more people continue to cite the internet than newspapers as their main source of news , reflecting both the growth of the internet , and the gradual decline in newspaper readership ( from 34 % in 2007 to 31 % now ) . The proportion citing radio as their main source of national and international news has remained relatively stable in recent years ; currently , 16 % say it is their main source"
