img_path,summary,question_resolution,question,answer_resolution,abstractive_answer,extractive_answer,decontextualizated_text_added,decontextualizated_text_removed,abstractive_text_added,abstractive_text_removed,extra_added_text,title,original_answer
mturk_charts/no_data/multi_col/8651.png,"Overall , 15 % of blacks and 18 % of Latinos have used ride - hailing , similar to the 14 % of whites who have done so , according to a Pew Research Center survey exploring the digital economy . And a new analysis of this survey data finds that Americans who live in majority - minority communities ( census - block groups where more than 50 % of residents are racial or ethnic minorities ) are more likely than those who reside in predominately white neighborhoods to say that ride - hailing apps serve neighborhoods that taxis wo n’t visit . Just over half ( 53 % ) of ride - hailing users living in majority - minority communities feel that this statement describes ride - hailing well , compared with 46 % of users living in majority - white neighborhoods . ( Many ride - hailers – about four - in - ten overall – were unsure if this statement described ride - hailing well ) . In sharp contrast to ride - hailing services , few blacks make use of home - sharing sites like Airbnb and VRBO : Just 5 % of blacks have ever used these services , compared with 13 % of whites . And although blacks are less likely than whites to say they travel overnight away from home for work or personal reasons , even among those who do travel on occasion , whites ( 16 % ) are still substantially more likely than blacks ( 5 % ) to use home - sharing services .",same,Tell about usage trends of ride-hailing services among races?,answer1,"15 % of blacks and 18 % of Latinos have used ride - hailing , similar to the 14 % of whites who have done so , according to a Pew Research Center survey exploring the digital economy .","15 % of blacks and 18 % of Latinos have used ride - hailing , similar to the 14 % of whites who have done so , according to a Pew Research Center survey exploring the digital economy .",,block 50 residents are racial or ethnic minorities ) are more likely than those reside in predominately white neighborhoods say that apps serve neighborhoods that taxis wo n’t visit ( 53 ) users living in majority minority communities feel that this statement describes well compared with 46 users living in majority white neighborhoods ( Many hailers – about four in ten overall – were unsure if this statement described well ) contrast 5 ever these services compared with 13 And although are less likely than say they travel overnight away from home for work or personal reasons even among those do travel on occasion ( 16 ) are still substantially more likely than ( 5 ) use home sharing services,,, ,"Unlike home-sharing ride-hailing, home-sharing varies ethnicity greatly by race, ethnicity % who have used ","15 % of blacks and 18 % of Latinos have used ride - hailing , similar to the 14 % of whites who have done so , according to a Pew Research Center survey exploring the digital economy . block 50 % of residents are racial or ethnic minorities ) are more likely than those who reside in predominately white neighborhoods to say that ride - hailing apps serve neighborhoods that taxis wo n’t visit . ( 53 % ) of ride - hailing users living in majority - minority communities feel that this statement describes ride - hailing well , compared with 46 % of users living in majority - white neighborhoods . ( Many ride - hailers – about four - in - ten overall – were unsure if this statement described ride - hailing well ) . contrast 5 % of blacks have ever used these services , compared with 13 % of whites . And although blacks are less likely than whites to say they travel overnight away from home for work or personal reasons , even among those who do travel on occasion , whites ( 16 % ) are still substantially more likely than blacks ( 5 % ) to use home - sharing services ."
mturk_charts/no_data/multi_col/8650.png,"In the case of ride - hailing apps , like Uber and Lyft , proponents of these services often argue that they can help promote racial equity in transportation – for instance , they might serve customers in lower - income or minority neighborhoods where traditional taxis are often scarce . Overall , 15 % of blacks and 18 % of Latinos have used ride - hailing , similar to the 14 % of whites who have done so , according to a Pew Research Center survey exploring the digital economy . And a new analysis of this survey data finds that Americans who live in majority - minority communities ( census - block groups where more than 50 % of residents are racial or ethnic minorities ) are more likely than those who reside in predominately white neighborhoods to say that ride - hailing apps serve neighborhoods that taxis wo n’t visit . Just over half ( 53 % ) of ride - hailing users living in majority - minority communities feel that this statement describes ride - hailing well , compared with 46 % of users living in majority - white neighborhoods . ( Many ride - hailers – about four - in - ten overall – were unsure if this statement described ride - hailing well ) .",same,What do Americans living in majority-minority communities say about ride hailing apps?,answer1,a new analysis of this survey data finds that Americans who live in majority - minority communities are more likely than those who reside in predominately white neighborhoods to say that ride - hailing apps serve neighborhoods that taxis wo n’t visit . Just over half ( 53 % ) of ride - hailing users living in majority - minority communities feel that this statement describes ride - hailing well .,a new analysis of this survey data finds that Americans who live in majority - minority communities are more likely than those who reside in predominately white neighborhoods to say that ride - hailing apps serve neighborhoods that taxis wo n’t visit . Just over half ( 53 % ) of ride - hailing users living in majority - minority communities feel that this statement describes ride - hailing well .,new analysis data finds Americans live Just over half,"proponents these services often argue they can help promote racial equity transportation – for instance , they might customers lower income or where traditional often scarce , 15 blacks and 18 Latinos have used , similar the 14 whites have done so , according Pew Research Center exploring the digital economy 50 residents racial or ethnic minorities , compared with 46 Many hailers – about four ten overall – were unsure if described",,, ,Ride-hailing users in majority-minority areas see service as useful where taxis won 't visit the % of ride hailing users living in neighborhoods who say ride the services *serve neighborhoods taxis won it visit' ,"proponents of these services often argue that they can help promote racial equity in transportation – for instance , they might serve customers in lower - income or minority neighborhoods where traditional taxis are often scarce , 15 % of blacks and 18 % of Latinos have used ride - hailing , similar to the 14 % of whites who have done so , according to a Pew Research Center survey exploring the digital economy 50 % of residents are racial or ethnic minorities ) are more likely than those who reside in predominately white neighborhoods to say that ride - hailing apps serve neighborhoods that taxis wo n’t visit . ( 53 % ) of ride - hailing users living in majority - minority communities feel that this statement describes ride - hailing well , compared with 46 % of users living in majority - white neighborhoods . ( Many ride - hailers – about four - in - ten overall – were unsure if this statement described ride - hailing well ) ."
mturk_charts/no_data/multi_col/8646.png,"This report and accompanying interactive is based on a longitudinal analysis of the primary and general election preferences of Democratic and Democratic - leaning registered voters in Pew Research Center ’s nationally representative American Trends Panel . This approach provides the ability to examine voters ’ choices at an individual level over the course of six surveys conducted throughout 2015 and 2016 . For more detail , see Methodology used in this report . And for a similar look at the GOP nomination contest , see “ For GOP Voters , a Winding Path to a Trump Nomination . ”",same,Describe how this report can be used?,answer1,This approach provides the ability to examine voters ’ choices at an individual level over the course of six surveys conducted throughout 2015 and 2016 .,This approach provides the ability to examine voters ’ choices at an individual level over the course of six surveys conducted throughout 2015 and 2016 .,,"For more detail , see Methodology used in this report And for a similar look GOP nomination contest , see “ For GOP Voters , a Winding Path a Trump Nomination ”",,, ,'Consistent' overwhelmingly Sanders prefer supporters in the primaries overwhelmingly prefer Clinton in general March and April) ,"This approach provides the ability to examine voters ’ choices at an individual level over the course of six surveys conducted throughout 2015 and 2016 . For more detail , see Methodology used in this report . And for a similar look at the GOP nomination contest , see “ For GOP Voters , a Winding Path to a Trump Nomination . ”"
mturk_charts/no_data/multi_col/8618.png,"Finally , there are some similarities between what Americans think about these three potential , future enhancements and their attitudes toward the kinds of enhancements already widely available today . Many are skeptical about the need for cosmetic procedures and other current enhancements . For example , 61 % of Americans say people are too quick to undergo cosmetic procedures to change their appearance in ways that are not really important . Roughly a third ( 34 % ) say elective cosmetic surgery is “ taking technology too far . ” And , overall , 54 % of U.S. adults say elective cosmetic surgery leads to both benefits and downsides for society , while 26 % express the belief that there are more downsides than benefits , and just 16 % say society receives more benefits than downsides from cosmetic surgery .",same,Please explain the opinions of people skeptical of the need for cosmetic improvements?,answer1,"Many are skeptical about the need for cosmetic procedures and other current enhancements . For example , 61 % of Americans say people are too quick to undergo cosmetic procedures to change their appearance in ways that are not really important . Roughly a third ( 34 % ) say elective cosmetic surgery is “ taking technology too far . ” And , overall , 54 % of U.S. adults say elective cosmetic surgery leads to both benefits and downsides for society , while 26 % express the belief that there are more downsides than benefits , and just 16 % say society receives more benefits than downsides from cosmetic surgery .","Many are skeptical about the need for cosmetic procedures and other current enhancements . For example , 61 % of Americans say people are too quick to undergo cosmetic procedures to change their appearance in ways that are not really important . Roughly a third ( 34 % ) say elective cosmetic surgery is “ taking technology too far . ” And , overall , 54 % of U.S. adults say elective cosmetic surgery leads to both benefits and downsides for society , while 26 % express the belief that there are more downsides than benefits , and just 16 % say society receives more benefits than downsides from cosmetic surgery .",Roughly a third,,,, ,Public assessments about cosmetic enhancements % of USS adults who say Cosmetic surgery leads to,"Many are skeptical about the need for cosmetic procedures and other current enhancements . For example , 61 % of Americans say people are too quick to undergo cosmetic procedures to change their appearance in ways that are not really important . ( 34 % ) say elective cosmetic surgery is “ taking technology too far . ” And , overall , 54 % of U.S. adults say elective cosmetic surgery leads to both benefits and downsides for society , while 26 % express the belief that there are more downsides than benefits , and just 16 % say society receives more benefits than downsides from cosmetic surgery ."
mturk_charts/no_data/multi_col/8617.png,"Second , people believe that technologies that would bring more dramatic or extreme changes to human abilities are less acceptable than technologies that cause less dramatic or temporary changes . For example , 47 % of Americans consider the use of synthetic blood substitutes to improve physical abilities an “ appropriate use of technology ” if the resulting change to people ’s speed , strength and stamina would be “ equal to their own peak abilities . ” But if the same enhancement results in physical abilities “ far above that of any human known to date , ” far fewer ( 28 % ) say it would be an appropriate use of technology . The same pattern occurs as Americans consider the potential use of gene editing and devices implanted in the brain to augment human abilities .",same,Describe views of people on appropriate use of technology?,answer1,"People believe that technologies that would bring more dramatic or extreme changes to human abilities are less acceptable than technologies that cause less dramatic or temporary changes . For example , 47 % of Americans consider the use of synthetic blood substitutes to improve physical abilities an “ appropriate use of technology ” if the resulting change to people ’s speed , strength and stamina would be “ equal to their own peak abilities . ” But if the same enhancement results in physical abilities “ far above that of any human known to date , ” far fewer ( 28 % ) say it would be an appropriate use of technology . The same pattern occurs as Americans consider the potential use of gene editing and devices implanted in the brain to augment human abilities .","people believe that technologies that would bring more dramatic or extreme changes to human abilities are less acceptable than technologies that cause less dramatic or temporary changes . For example , 47 % of Americans consider the use of synthetic blood substitutes to improve physical abilities an “ appropriate use of technology ” if the resulting change to people ’s speed , strength and stamina would be “ equal to their own peak abilities . ” But if the same enhancement results in physical abilities “ far above that of any human known to date , ” far fewer ( 28 % ) say it would be an appropriate use of technology . The same pattern occurs as Americans consider the potential use of gene editing and devices implanted in the brain to augment human abilities .",For example But same enhancement results in The same pattern occurs as potential gene editing devices implanted in brain augment,,People,, ,Fewer Americans see enhancements that would bring extreme change as an appropriate use of technology % of USS technology adults who say each of these enhancements would be an appropriate use of technology under each condition Gene editing giving babies reduced risk of serious diseases If it resulted in people Far healthier than any human known to date Much healthier than the average person today Brain chip implant improving cognitive abilities If it resulted in cognitive abilities Much better than their own peak abilities Equal to their own peak abilities Synthetic blood substitutes improving physical abilities Ifit resulted in physical abilities Far above that of way human known to date,"people believe that technologies that would bring more dramatic or extreme changes to human abilities are less acceptable than technologies that cause less dramatic or temporary changes . , 47 % of Americans consider the use of synthetic blood substitutes to improve physical abilities an “ appropriate use of technology ” if the resulting change to people ’s speed , strength and stamina would be “ equal to their own peak abilities . “ far above that of any human known to date , ” far fewer ( 28 % ) say it would be an appropriate use of technology ."
mturk_charts/no_data/multi_col/8603.png,"These differences also extend to more specific incidents of racial discrimination . For example , blacks who have attended college are more likely than those who have not to say they have been met with suspicion or that someone has questioned their intelligence . Some 55 % of blacks with at least some college education say that in the past 12 months someone has acted as if they were suspicious of them because of their race or ethnicity , while a similar share ( 52 % ) say people have treated them as if they were n’t smart . Among blacks with a high school diploma or less , those shares are lower , 38 % and 37 % respectively .",same,Please tell about how the blacks faced racism in college?,answer1,"Blacks who have attended college are more likely than those who have not to say they have been met with suspicion or that someone has questioned their intelligence . Some 55 % of blacks with at least some college education say that in the past 12 months someone has acted as if they were suspicious of them because of their race or ethnicity , while a similar share ( 52 % ) say people have treated them as if they were n’t smart . Among blacks with a high school diploma or less , those shares are lower , 38 % and 37 % respectively .","blacks who have attended college are more likely than those who have not to say they have been met with suspicion or that someone has questioned their intelligence . Some 55 % of blacks with at least some college education say that in the past 12 months someone has acted as if they were suspicious of them because of their race or ethnicity , while a similar share ( 52 % ) say people have treated them as if they were n’t smart . Among blacks with a high school diploma or less , those shares are lower , 38 % and 37 % respectively .",Some while similar share,,Blacks,, ,"Among blacks, those who ve attended college are more likely to say they've experienced racial discrimination % experienced of blacks saying they have fever personally lunfairly experienced because of their race or ethnicity % of blacks saying each of thefollowing happened to ","blacks who have attended college are more likely than those who have not to say they have been met with suspicion or that someone has questioned their intelligence . 55 % of blacks with at least some college education say that in the past 12 months someone has acted as if they were suspicious of them because of their race or ethnicity ( 52 % ) say people have treated them as if they were n’t smart . Among blacks with a high school diploma or less , those shares are lower , 38 % and 37 % respectively ."
mturk_charts/no_data/multi_col/8602.png,"Democrats feel warmly toward Clinton , while Republican views of her are very cold . Hillary Clinton is a polarizing figure in U.S. politics . In a survey conducted this spring , Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer , ” where 100 is the warmest , most positive rating and zero the coldest , most negative . Republicans , on the other hand , give her an average rating of 12 , and 59 % give her a zero on the scale . Republicans ’ deeply negative views of Clinton find a parallel in Democrats ’ deeply negative views of Donald Trump , who rates an average of 11 on the scale , with about two - thirds of Democrats giving him a zero rating .",same,Describe how Democrats feel towards Clinton?,answer1,"Democrats feel warmly toward Clinton . Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer , ” where 100 is the warmest , most positive rating and zero the coldest , most negative .","Democrats feel warmly toward Clinton . Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer , ” where 100 is the warmest , most positive rating and zero the coldest , most negative .",feel warmly toward Clinton,,,, ,"-Cold' views of other party S members, frigid views of its presidential candidate Mean thermometer ratings Republicans Among Republicans Among ","Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer , ” where 100 is the warmest , most positive rating and zero the coldest , most negative ."
mturk_charts/no_data/multi_col/8601.png,"Many voters – including many of her supporters – doubt Clinton will change Washington much . Overall , about half ( 53 % ) of voters in our June survey say Clinton wo n’t change the way things work in Washington much . Those who think she will change Washington are divided on whether it will be for the better ( 20 % ) or the worse ( 25 % ) . Even voters who say they will support Clinton in a matchup against Trump this fall say she ’s unlikely to bring much change to the way things work in Washington . Well over half ( 58 % ) say this , while another 38 % say she will bring positive change . Trump ’s supporters are roughly evenly divided between those who say she would make things worse ( 52 % ) and those who say things would n’t change much under a Clinton administration ( 46 % ) .",same,Describe what voters think about the changes that Clinton can do in Washington?,answer1,Many voters – including many of her supporters – doubt Clinton will change Washington much . Those who think she will change Washington are divided on whether it will be for the better ( 20 % ) or the worse ( 25 % ) .,Many voters – including many of her supporters – doubt Clinton will change Washington much . Those who think she will change Washington are divided on whether it will be for the better ( 20 % ) or the worse ( 25 % ) .,Many voters – including many of her supporters – doubt Clinton much,,,, ,Voters doubt Clinton will bring change Do Washing you think Clinton would change the way things work in Washing you ton For worse,Those who think she will change Washington are divided on whether it will be for the better ( 20 % ) or the worse ( 25 % ) .
mturk_charts/no_data/multi_col/8599.png,"More voters say they know a lot about where Clinton stands on important issues than say the same about Trump . About half ( 53 % ) say they know a lot about Clinton ’s positions ; by comparison , fewer ( 43 % ) are confident they know where Trump stands . Republicans and Republican - leaning independents are just as likely to say they know a lot about where Clinton stands ( 50 % ) as they are about Trump ( 53 % ) . Democrats and Democratic - leaning independents , on the other hand , say they know much more about Clinton ’s positions ( 57 % say a lot ) than Trump ’s ( 36 % ) .",same,Compare voters knowledge about Clinton and Trump positions on important issues?,same,"More voters say they know a lot about where Clinton stands on important issues than say the same about Trump . About half ( 53 % ) say they know a lot about Clinton ’s positions ; by comparison , fewer ( 43 % ) are confident they know where Trump stands .","More voters say they know a lot about where Clinton stands on important issues than say the same about Trump . About half ( 53 % ) say they know a lot about Clinton ’s positions ; by comparison , fewer ( 43 % ) are confident they know where Trump stands .",,,,, ,Voters say they know a lot about Clinton's positions How much would you say you know about where stands on important issues facing the country?,"More voters say they know a lot about where Clinton stands on important issues than say the same about Trump . About half ( 53 % ) say they know a lot about Clinton ’s positions ; by comparison , fewer ( 43 % ) are confident they know where Trump stands ."
mturk_charts/no_data/multi_col/8598.png,"Another reason why Hispanics lag in bachelor ’s degrees is that nearly half who go to college attend a public two - year school , or community college , the highest share of any race or ethnicity . By comparison , among college - goers , 30 % of whites , 32 % of Asians and 36 % of blacks go to a community college .",same,Compare the rates of people going to community college among different races?,answer1,"Among college - goers , 30 % of whites , 32 % of Asians and 36 % of blacks go to a community college .","among college - goers , 30 % of whites , 32 % of Asians and 36 % of blacks go to a community college .",,,Among,among, ,"Almost public half of Hispanic college students attend public two-year schools Postsecondary enrollment by race/ethnicity and school type, 2014 ","among college - goers , 30 % of whites , 32 % of Asians and 36 % of blacks go to a community college ."
