img_path,summary,question_resolution,question,answer_resolution,abstractive_answer,extractive_answer,decontextualizated_text_added,decontextualizated_text_removed,extra_added_text
mturk_charts/no_data/multi_col/6838.png,"Women who own guns are less likely than their male counterparts to say they go sport shooting or hunting , though substantial shares of women do so . About four - in - ten female gun owners ( 43 % ) say they go shooting or to a gun range often or sometimes ; 58 % of men who own guns say the same . And while 37 % of male gun owners say they go hunting at least sometimes , 28 % of women who own guns do so .",same,What opinion do men and women have about who own guns say they go shooting or to a gun range?,answer1,About four - in - ten female gun owners ( 43 % ) say they go shooting or to a gun range often or sometimes ; 58 % of men who own guns say the same,About four - in - ten female gun owners ( 43 % ) say they go shooting or to a gun range often or sometimes ; 58 % of men who own guns say the same,,,
mturk_charts/no_data/multi_col/6839.png,"Male gun owners are more likely than female gun owners to say there is a gun that is both loaded and easily accessible to them all of the time when they ’re at home . Some 43 % of men who own guns say this is the case , compared with 29 % of women gun owners . However , among those who own handguns , equal shares of men and women ( 26 % each ) say they carry their gun outside their home all or most of the time .",same,What opinion do men and women have about who have access to a fully loaded gun that is accessible to them all the time?,answer1,". Some 43 % of men who own guns say this is the case , compared with 29 % of women gun owners",". Some 43 % of men who own guns say this is the case , compared with 29 % of women gun owners",,Male are more likely than female to there a that both loaded and easily accessible to them all time when they ’re at home,
mturk_charts/no_data/multi_col/6843.png,"As part of a larger survey of Hispanic immigrants fielded in late 2015 , Pew Research Center asked Mexican green - card holders why they had not yet become naturalized U.S. citizens . The most frequent reasons centered on inadequate English skills , lack of time or initiative , and the cost of the U.S. citizenship application . These appear to be significant barriers , as nearly all lawful immigrants from Mexico said they would like to become U.S. citizens someday . In the United States , the citizenship , or naturalization , rate among all lawful immigrants steadily increased from 1995 to 2005 , rising from 47 % to 62 % . Until about 2005 , the naturalization rate among lawful immigrants from Mexico also increased steadily , but did so more rapidly ( from 20 % in 1995 to 38 % in 2005 ) , narrowing the gap between Mexicans and other immigrants . However , between 2005 and 2010 , the naturalization rate of Mexican green - card holders leveled off , even as the rate for lawful permanent residents from other parts of the globe continued to rise . Only in the period from 2011 to 2015 did the rate of naturalization among eligible Mexican immigrants significantly increase again at a pace higher than that of other lawful U.S. immigrants – going from 38 % to 42 % among Mexicans , compared with a 2 - percentage - point increase , from 72 % to 74 % among non - Mexican immigrants .",same,What was the reason why Mexican green-card holders had not yet become naturalized U.S. citizens?,answer1,"The most frequent reasons centered on inadequate English skills , lack of time or initiative , and the cost of the U.S. citizenship application","The most frequent reasons centered on inadequate English skills , lack of time or initiative , and the cost of the U.S. citizenship application",,As part a larger survey Hispanic immigrants fielded in late 2015 Pew Research Center asked Mexican green - card holders why they had not yet become naturalized citizens .,
mturk_charts/no_data/multi_col/6319.png,"Syrians not only filed the most applications , they also had the highest share of approved applications of any asylum - seeker origin group . Among nationalities with the most asylum applications in 2015 and 2016 , estimates show the share of Syrians ( 80 % ) permitted to stay in the European Union , Norway and Switzerland was far higher than the share among Eritreans ( 68 % ) , Somalians ( 38 % ) , Iraqis ( 36 % ) , Sudanese ( 36 % ) and Afghans ( 22 % ) .",same,What percentage of Syrians submitted the most asylum applications to stay in the EU?,answer1,the share of Syrians ( 80 % ) permitted to stay in the European Union,the share of Syrians ( 80 % ) permitted to stay in the European Union,,"Among nationalities with most asylum applications 2015 and 2016 , estimates class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-1'>show",
mturk_charts/no_data/multi_col/6316.png,"About six - in - ten Republicans ( 59 % ) say they are very ( 12 % ) or somewhat ( 47 % ) optimistic about the future of the Republican Party . In December 2016 , nearly eight - in - ten ( 79 % ) said they were very ( 28 % ) or somewhat ( 51 % ) optimistic . Republican views are now comparable to what they were on the eve of the 2016 election : Last November , 61 % expressed optimism about their party ’s future .",same,What opinion do Republicans have about the future of the Republican Party?,answer1,About six - in - ten Republicans ( 59 % ) say they are very ( 12 % ) or somewhat ( 47 % ) optimistic about the future of the Republican Party,About six - in - ten Republicans ( 59 % ) say they are very ( 12 % ) or somewhat ( 47 % ) optimistic about the future of the Republican Party,,,
mturk_charts/no_data/multi_col/6326.png,"Whites and blacks have distinctly different views . An overwhelming majority of blacks ( 92 % ) say whites benefit a great deal or a fair amount from advantages that blacks do not have , including 68 % who say they benefit a great deal . By comparison , 46 % of whites say whites benefit at least a fair amount from advantages in society that blacks do n’t have , and just 16 % of whites say whites benefit a great deal . Attitudes among Hispanics fall between those of whites and blacks , with about two - thirds of Hispanics ( 65 % ) saying white people benefit a great deal or a fair amount from societal privileges that black people do not have . The gap between Republicans and Democrats also is stark . Nearly eight - in - ten Democrats and Democratic - leaning independents ( 78 % ) say white people benefit a great deal or a fair amount from advantages unavailable to black people ; just 21 % say they do not benefit at all or do not benefit too much . The views of Republicans and Republican - leaning independents are nearly the opposite : 27 % say whites benefit a great deal or a fair amount from societal advantages , compared with 72 % who say they do not benefit at all or do not benefit too much .",same,What opinion do blacks have about why whites benefit a fair amount from advantages that blacks do not have?,answer1,"An overwhelming majority of blacks ( 92 % ) say whites benefit a great deal or a fair amount from advantages that blacks do not have , including 68 % who say they benefit a great deal","An overwhelming majority of blacks ( 92 % ) say whites benefit a great deal or a fair amount from advantages that blacks do not have , including 68 % who say they benefit a great deal",,,
mturk_charts/no_data/multi_col/6040.png,"Americans are especially likely to say they would benefit from improvements in the services they use to go online . Seven - in - ten cellphone users ( 70 % ) say they would benefit from an unlimited data plan , with 50 % saying they would benefit a lot . And nearly three - quarters of home internet users ( 72 % ) say having more reliable service would help them gather information for decisions , with 48 % saying it would help them a lot .",same,How is the internet influence seen among Americans?,answer1,"Seven - in - ten cellphone users ( 70 % ) say they would benefit from an unlimited data plan , with 50 % saying they would benefit a lot . And nearly three - quarters of home internet users ( 72 % ) say having more reliable service would help them gather information for decisions , with 48 % saying it would help them a lot","Seven - in - ten cellphone users ( 70 % ) say they would benefit from an unlimited data plan , with 50 % saying they would benefit a lot . And nearly three - quarters of home internet users ( 72 % ) say having more reliable service would help them gather information for decisions , with 48 % saying it would help them a lot",,Americans are especially likely to improvements the services use to go online,
mturk_charts/no_data/multi_col/6041.png,"Again , there are differences in the views of whites and minorities on these questions . While 75 % of Hispanics and 70 % of blacks would like training on how to use online resources to find trustworthy information , the same is true for 55 % of whites . Three - quarters of Hispanics and 66 % of blacks would like training on using computers , smartphones and the internet , compared with 48 % of whites .",same,How able do Americans think they are to find trustworthy information?,answer1,"75 % of Hispanics and 70 % of blacks would like training on how to use online resources to find trustworthy information , the same is true for 55 % of whites .","75 % of Hispanics and 70 % of blacks would like training on how to use online resources to find trustworthy information , the same is true for 55 % of whites .",,While Three - quarters 66 using computers smartphones internet compared with 48,
mturk_charts/no_data/multi_col/6050.png,"Nearly all Orthodox Ethiopians ( 98 % ) say religion is very important to them , compared with a median of 34 % of Orthodox saying this across 13 countries surveyed in Central and Eastern Europe . About three - quarters of Orthodox Ethiopians say they attend church every week ( 78 % ) , compared with a median of 10 % in Central and Eastern Europe and just 6 % in Russia .",same,What is the opinion about which country is most likely to have the most orthodox population?,answer2,Nearly all Orthodox Ethiopians ( 98 % ) say religion is very important to them across 13 countries surveyed in Central and Eastern Europe .,Nearly all Orthodox Ethiopians ( 98 % ) say religion is very important to them across 13 countries surveyed in Central and Eastern Europe .,,", compared with a median of 34 of saying this",
mturk_charts/no_data/multi_col/7290.png,"Public opinion about whether the U.S. has a responsibility to accept Syrian refugees has not changed since February , though the share saying the U.S. has a responsibility to accept Syrian refugees is higher today ( 47 % ) than it was last October ( 40 % ) . The partisan divisions on this issue remain stark .",same,What opinion do people have about whether the U.S. has a responsibility to accept Syrian refugees?,answer1,though the share saying the U.S. has a responsibility to accept Syrian refugees is higher today ( 47 % ) than it was last October ( 40 % ),though the share saying the U.S. has a responsibility to accept Syrian refugees is higher today ( 47 % ) than it was last October ( 40 % ),,,
