img_path,"summary",question_resolution,"question",answer_resolution,"abstractive_answer","extractive_answer","decontextualizated_text_added","decontextualizated_text_removed","abstractive_text_added","abstractive_text_removed","extra_added_text","title","original_answer"
mturk_charts/no_data/multi_col/16912.png,"Overall , 39 % say it has contributed a lot to encouraging interest in science , 35 % say it has contributed some while 22 % think it has contributed not much or nothing . Nearly as many ( 38 % ) say the space program has contributed a lot to scientific advances that all Americans can use , while 34 % think it has done a lot for feelings or pride and patriotism .",same,"What is the public opinion regarding the contribution of the space program in stimulating interest in science?",answer1,"39 % say it has contributed a lot to encouraging interest in science , 35 % say it has contributed some while 22 % think it has contributed not much or nothing .","39 % say it has contributed a lot to encouraging interest in science , 35 % say it has contributed some while 22 % think it has contributed not much or nothing .","","Overall","",""," ","How Much Does Space Prog ram Contribute to a lot Some Not much/Nothing","Overall , 39 % say it has contributed a lot to encouraging interest in science , 35 % say it has contributed some while 22 % think it has contributed not much or nothing ."
mturk_charts/no_data/multi_col/16916.png,"Overall , 39 % say it has contributed a lot to encouraging interest in science , 35 % say it has contributed some while 22 % think it has contributed not much or nothing . Nearly as many ( 38 % ) say the space program has contributed a lot to scientific advances that all Americans can use , while 34 % think it has done a lot for feelings or pride and patriotism .",same,"What is the public opinion regarding the contribution of the space program to scientific advances?",answer1,"( 38 % ) say the space program has contributed a lot to scientific advances that all Americans can use , while 34 % think it has done a lot for feelings or pride and patriotism .","( 38 % ) say the space program has contributed a lot to scientific advances that all Americans can use , while 34 % think it has done a lot for feelings or pride and patriotism .",", while 34 think it done for feelings or pride and patriotism .","","",""," ","How Much Does Space Prog ram Contribute to a lot Some Not much/Nothing","( 38 % ) say the space program has contributed a lot to scientific advances that all Americans can use"
mturk_charts/no_data/multi_col/16919.png,"The political typology sorts people into cohesive groups based on their values , political beliefs and partisan affiliation . Among the eight major typology groups , Staunch Conservatives – who are strongly anti - government and pro - business – are the only one in which a majority ( 67 % ) says that the U.S. stands above all other nations .",same,"What is the opinion of staunch conservatives about the U.S.'s superiority over other nations?",answer1,"67 % says that the U.S. stands above all other nations .","67 % says that the U.S. stands above all other nations .","","Staunch Conservatives are only one in which a majority ( )","",""," ","Staunch Conservatives See U.S. as Superior The U.S stands above all other countries The U.S is one of the greatest countries, along with some others There are other countries that are better than the U.S ","Staunch Conservatives are the only one in which a majority ( 67 % ) says that the U.S. stands above all other nations ."
mturk_charts/no_data/multi_col/16946.png,"Support for the Pakistani government ’s military campaign against extremist groups has waned in recent years . Just 37 % support using the Pakistani army to fight extremists in the country ’s Federally Administered Tribal Areas ( FATA ) and the Khyber Pakhtunkhwa region ( formerly the North - West Frontier Province ) . This level is significantly lower than it was two years ago , when , in a survey taken following conflict between government forces and Taliban - affiliated groups in the Swat Valley area , 53 % endorsed using the army to battle these organizations .",same,"How is the situation on the drop in the rate of people supporting using the Pakistani army to fight extremists?",answer1,"37 % support using the Pakistani army to fight extremists in the country ’s Federally Administered Tribal Areas ( FATA ) and the Khyber Pakhtunkhwa region ( formerly the North - West Frontier Province ) .","37 % support using the Pakistani army to fight extremists in the country ’s Federally Administered Tribal Areas ( FATA ) and the Khyber Pakhtunkhwa region ( formerly the North - West Frontier Province ) .","","Just This level is significantly lower than it was two years ago , when , a survey taken following conflict between government forces Taliban affiliated groups Swat Valley area , 53 endorsed battle these organizations","",""," ","Waning Fight Extremists Support","Just 37 % support using the Pakistani army to fight extremists in the country ’s Federally Administered Tribal Areas ( FATA ) and the Khyber Pakhtunkhwa region ( formerly the North - West Frontier Province ) . This level is significantly lower than it was two years ago , when , in a survey taken following conflict between government forces and Taliban - affiliated groups in the Swat Valley area , 53 % endorsed using the army to battle these organizations"
mturk_charts/no_data/multi_col/16949.png,"When asked which is the biggest threat to their country , India , the Taliban , or al Qaeda , a majority of Pakistanis ( 57 % ) say India .",same,"What Pakistanis consider to be the biggest threat to their country?",answer1,"57 % say India .","57 % say India .",".","When asked which is the biggest threat to their country , , the Taliban , or al Qaeda , a majority of Pakistanis ( )","",""," ","Greatest Threat to Pakistan India","When asked which is the biggest threat to their country , India , the Taliban , or al Qaeda , a majority of Pakistanis ( 57 % ) say India"
mturk_charts/no_data/multi_col/16950.png,"Opposition leader Nawaz Sharif fares better : 63 % express a positive opinion of the Pakistan Muslim League ( PML - N ) leader , down from a year ago when 71 % held this view . The most popular leader tested is former cricket star Imran Khan . Nearly seven - in - ten ( 68 % ) have a favorable view of the athlete turned politician , up from 52 % in 2010 .",same,"What are the opinions about Nawaz Sharif?",same,"Opposition leader Nawaz Sharif fares better : 63 % express a positive opinion of the Pakistan Muslim League ( PML - N ) leader .","Opposition leader Nawaz Sharif fares better : 63 % express a positive opinion of the Pakistan Muslim League ( PML - N ) leader .",".",", down from year ago when 71 held this view","",""," ","Views of Pakistani Leaders","Opposition leader Nawaz Sharif fares better : 63 % express a positive opinion of the Pakistan Muslim League ( PML - N ) leader , down from a year ago when 71 % held this view"
mturk_charts/no_data/multi_col/16955.png,"As the Supreme Court ’s current term concludes , public opinion is evenly divided about how the justices should interpret the Constitution when determining their rulings . Half of Americans ( 50 % ) say the Court ’s rulings should be based on its understanding of what the U.S. Constitution means in current times , while about as many ( 45 % ) say rulings should be based on its understanding of what the Constitution meant as originally written .",same,"What is the opinion of half of the Ameriocanmps on the Court's decisions?",answer1,"Half of Americans ( 50 % ) say the Court ’s rulings should be based on its understanding of what the U.S. Constitution means in current times .","Half of Americans ( 50 % ) say the Court ’s rulings should be based on its understanding of what the U.S. Constitution means in current times .","Constitution means in current times .","","",""," ","Constitution Wide Divisions over Interpreting Constitution Wide Should rulings the Supreme Court base its rulings on what Supreme the Constitution... base Total 50 45 Among Typology Groups...","Half of Americans ( 50 % ) say the Court ’s rulings should be based on its understanding of what the U.S."
mturk_charts/no_data/multi_col/16966.png,"Solid majorities say news organizations have given too much coverage to the Weiner photo scandal ( 63 % ) and to Sarah Palin ’s bus tour of historic sites ( 58 % ) . By contrast , just 11 % say news about U.S. plans and policies for Afghanistan have been over - covered ; 42 % say this story has gotten too little media attention .",same,"How is the opinion on coverage of the news about Weiner's photo scandal comparing with other news?",same,"Solid majorities say news organizations have given too much coverage to the Weiner photo scandal ( 63 % ) and to Sarah Palin ’s bus tour of historic sites ( 58 % ) . By contrast , just 11 % say news about U.S. plans and policies for Afghanistan have been over - covered ; 42 % say this story has gotten too little media attention .","Solid majorities say news organizations have given too much coverage to the Weiner photo scandal ( 63 % ) and to Sarah Palin ’s bus tour of historic sites ( 58 % ) . By contrast , just 11 % say news about U.S. plans and policies for Afghanistan have been over - covered ; 42 % say this story has gotten too little media attention .","","","",""," ","Weiner, Palin Seen as Overcovered Too much Right amount Too little DK ","Solid majorities say news organizations have given too much coverage to the Weiner photo scandal ( 63 % ) and to Sarah Palin ’s bus tour of historic sites ( 58 % ) . By contrast , just 11 % say news about U.S. plans and policies for Afghanistan have been over - covered ; 42 % say this story has gotten too little media attention ."
mturk_charts/no_data/multi_col/16994.png,"Eight - in - ten Americans say they had heard a lot ( 29 % ) or a little ( 52 % ) about an international health panel warning of a possible link between cell phone use and brain cancer . As is usually the case with health - related stories , women had heard more about this story than had men ( 33 % heard a lot versus 25 % ) .",same,"How is the situation on the proportion of Americans who heard too much or too little about an international health panel warning of a possible link between cell phone use and brain cancer?",answer1,"Eight - in - ten Americans say they had heard a lot ( 29 % ) or a little ( 52 % ) about an international health panel warning of a possible link between cell phone use and brain cancer .","Eight - in - ten Americans say they had heard a lot ( 29 % ) or a little ( 52 % ) about an international health panel warning of a possible link between cell phone use and brain cancer .",".","","",""," ","What Americans Are Hearing About.","Eight - in - ten Americans say they had heard a lot ( 29 % ) or a little ( 52 % ) about an international health panel warning of a possible link between cell phone use and brain cancer"
mturk_charts/no_data/multi_col/16996.png,"Opinions about the state of the country are strongly associated with religiosity . A solid majority ( 64 % ) of Muslim Turks who pray five times a day are satisfied with the direction of the nation . Among those who pray at least once a week but less than five times daily , only 41 % are satisfied . And among those who hardly ever pray or only do so during religious holidays , just 32 % express satisfaction .",same,"How is the relation between religiosity and contentment with the country by the Turkish population?",answer1,"64 % of Muslim Turks who pray five times a day are satisfied with the direction of the nation . Among those who pray at least once a week but less than five times daily , only 41 % are satisfied . And among those who hardly ever pray or only do so during religious holidays , just 32 % express satisfaction .","64 % of Muslim Turks who pray five times a day are satisfied with the direction of the nation . Among those who pray at least once a week but less than five times daily , only 41 % are satisfied . And among those who hardly ever pray or only do so during religious holidays , just 32 % express satisfaction .","","A solid majority ( )","",""," ","With Country Direction","A solid majority ( 64 % ) of Muslim Turks who pray five times a day are satisfied with the direction of the nation . Among those who pray at least once a week but less than five times daily , only 41 % are satisfied . And among those who hardly ever pray or only do so during religious holidays , just 32 % express satisfaction ."
