Transaction Id,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3F0T3JVPZVCLGFX3M3BWOTYXPDA78M,2021-08-03 18:43:41 -0700,,BONUS_REWARD,,A3GGA7I8AFZ8KZ,0.1,3BS6ERDLAB9V1R980FYSPCWI5ZOD6G,3F0T3JVPZVCLGFX3M3BWOTYXPDA78M
3F0T3JVPZVCLGFX3M3BWOTYXPDA78M,2021-08-03 18:43:41 -0700,,BONUS_REWARD_FEE,,Mechanical Turk,0.02,3BS6ERDLAB9V1R980FYSPCWI5ZOD6G,3F0T3JVPZVCLGFX3M3BWOTYXPDA78M
3QINUAJ3JBDJLE5DZZDYKVSRJBBZMT,2021-08-03 18:54:21 -0700,,BONUS_REWARD,,AOU59T41ZKA2I,0.1,3CVBMEMMYJIVH7SF5LMAMBBCS217HI,3QINUAJ3JBDJLE5DZZDYKVSRJBBZMT
3QINUAJ3JBDJLE5DZZDYKVSRJBBZMT,2021-08-03 18:54:21 -0700,,BONUS_REWARD_FEE,,Mechanical Turk,0.02,3CVBMEMMYJIVH7SF5LMAMBBCS217HI,3QINUAJ3JBDJLE5DZZDYKVSRJBBZMT
3D0OR340KIZYH6UH24UI8NHMT2JWVH,2021-08-03 19:05:21 -0700,,BONUS_REWARD,,A3GGA7I8AFZ8KZ,0.1,3BS6ERDLAB9V1R980FYSPCWI5ZOD6G,3D0OR340KIZYH6UH24UI8NHMT2JWVH
3D0OR340KIZYH6UH24UI8NHMT2JWVH,2021-08-03 19:05:21 -0700,,BONUS_REWARD_FEE,,Mechanical Turk,0.02,3BS6ERDLAB9V1R980FYSPCWI5ZOD6G,3D0OR340KIZYH6UH24UI8NHMT2JWVH
3GO48AS3S4STWVOVYKA7P27MNGVURN,2021-08-03 19:31:45 -0700,,BONUS_REWARD,,AOU59T41ZKA2I,0.1,3BVS8WK9R8XIFE6POKGBRPYNB57IB8,3GO48AS3S4STWVOVYKA7P27MNGVURN
3GO48AS3S4STWVOVYKA7P27MNGVURN,2021-08-03 19:31:45 -0700,,BONUS_REWARD_FEE,,Mechanical Turk,0.02,3BVS8WK9R8XIFE6POKGBRPYNB57IB8,3GO48AS3S4STWVOVYKA7P27MNGVURN
39NEDIDWEU7UDOFFK18311GB5T5CON,2021-08-03 20:28:39 -0700,,BONUS_REWARD,,A1R3AG41BKW22B,0.1,3P6ENY9P8HYS6R9BOCQ7D01L6ICIHO,39NEDIDWEU7UDOFFK18311GB5T5CON
39NEDIDWEU7UDOFFK18311GB5T5CON,2021-08-03 20:28:39 -0700,,BONUS_REWARD_FEE,,Mechanical Turk,0.02,3P6ENY9P8HYS6R9BOCQ7D01L6ICIHO,39NEDIDWEU7UDOFFK18311GB5T5CON
