img_path,"summary",category
mturk_charts/no_data/multi_col/2448.png,"Most Americans favor expanding solar power (92%) or wind power (85%), including strong majorities of both Republicans and Democrats. The public, however, is evenly divided over whether to expand nuclear power (49% on each side). Fewer than half of Americans support more offshore oil and gas drilling (42%), hydraulic fracturing for oil and natural gas, known as “fracking” (38%) or coal mining (35%).",good
mturk_charts/no_data/multi_col/2452.png,"Two-thirds of Americans favor marijuana legalization, reflecting a steady increase in public support, according to a September 2019 Pew Research Center survey. Public opinion on marijuana legalization was essentially the opposite nearly two decades ago: In 2000, 63% said the use of marijuana should be illegal. Views of marijuana legalization differ by generation and political party, though support has increased across demographic groups over time. Majorities of Millennials (those born between 1981 and 1997), Gen Xers (born between 1965 and 1980) and Baby Boomers (born between 1946 and 1964) say the use of marijuana should be legal, up sharply from a decade ago. And while a smaller share of the Silent Generation (born between 1928 and 1945) currently favors legalization, support among these Americans has also increased. Few Americans say marijuana should be illegal under all circumstances. In the fall 2019 survey, 59% of U.S. adults said marijuana should be legal for recreational and medical purposes, while another 32% said it should be legal for medical use only. Just 8% said the drug should not be legal.",unquestionable
mturk_charts/no_data/multi_col/2456.png,"Smart speakers such as Amazon Echo or Google Home have gained popularity over the last several years, and consumer experts found that these devices were especially popular with holiday season gift buyers last year. But even as some Americans are integrating these devices into their homes, many owners express concerns over data collection and personalization, according to a Pew Research Center survey conducted June 3-17, 2019.",complex
mturk_charts/no_data/multi_col/2459.png,"Looking ahead, a majority of smart speaker owners also are not seeking more personalization. Different groups of respondents were asked about their desires for the performance of their speakers in the future. In one group, 58% of smart speaker owners say they would not like their speaker to do a better job of taking their interests and preferences into account in the future, compared with 42% who would like their speakers to do a better job taking their interests and preferences into account. The second group was asked a more detailed question: whether they would like their speakers to do a better job of taking their interests and preferences into account in the future, even if that meant it would need to collect more personal information about them. Only 33% say they would appreciate their interests and preferences being taken more into account, even if it meant more personal data collection, while two-thirds (66%) said they would not like that.",good
mturk_charts/no_data/multi_col/2467.png,"As ownership of mobile phones, especially smartphones, spreads rapidly across the globe, there are still notable numbers of people in emerging economies who do not own a mobile phone, or who share one with others. A Pew Research Center survey in 11 emerging economies finds that a median of 6% of adults do not use phones at all, and a median of 7% do not own phones but instead borrow them from others. The mobile divides are most pronounced in Venezuela (32%), India (30%) and the Philippines (27%), countries where about three-in-ten adults do not own a mobile phone.",good
mturk_charts/no_data/multi_col/2468.png,"At the same time, the new findings show that mobile divides even exist for phone owners. Significant numbers of owners struggle to use their phones to full advantage. A median of 46% in these countries say they frequently or occasionally have difficulties getting reliable phone connections, 37% say it can be a challenge to pay for their phones and 33% report finding places to charge their phones is a problem at least occasionally. In addition, a median of 42% report frequently or occasionally avoiding some activities on their phones because they use too much data. In some countries, mobile owners’ problems are particularly striking. In Lebanon, for example, 77% of phone owners report having problems getting reliable mobile connections, and about two-thirds (66%) say they avoid doing things with their phones because those activities use too much data. In Jordan, nearly half (48%) report having trouble paying for their phone, while in Tunisia four-in-ten (40%) say it can be a challenge to find places to recharge their phones.",good
mturk_charts/no_data/multi_col/2469.png,"Mobile phone sharers, too, are often quite concerned about identity theft; outside of India and Lebanon, at least half of mobile phone sharers in every country report being very concerned about this issue. For mobile sharers, too, concerns about device security can play a role in why people choose not to own their own devices. While cost is the primary reason mobile phone sharers give for why they do not personally have a phone (a median of 34% across eight countries reports this), the second most commonly cited reason is that a previous mobile phone was lost, broken or stolen. Another 2% say they do not own their own mobile phone because of concerns that it will be stolen.",good
mturk_charts/no_data/multi_col/2470.png,"Additionally, a median of 29% of mobile owners in these 11 emerging economies say they have frequently or occasionally experienced problems finding information online in their preferred language. This problem ranges from 17% of mobile owners in Jordan to 37% in South Africa.",good
mturk_charts/no_data/multi_col/2487.png,"Younger adults are far more likely than their elders to often get news on a mobile device. About seven-in-ten (72%) adults ages 18 to 29 often get news this way, compared with 38% among those ages 65 and older. Conversely, those 65 and older are more likely to often get news on a desktop or laptop computer than those ages 18 to 29 (34% vs. 23%). Race and partisanship also play a role in mobile news use. For example, about six-in-ten Hispanic adults (63%) often get news through a mobile device, compared with 54% of whites. The opposite is true when it comes to getting news on desktop or laptop computers (23% among Hispanic adults vs. 31% of whites). Black adults fall between Hispanic and white adults on this question. Meanwhile, roughly six-in-ten Democrats and Democratic-leaning independents (62%) often get news on a mobile device, compared with 53% of Republicans and Republican leaners. When it comes to desktop news use, there are no major differences between Democrats and Republicans. Those with more formal education and higher incomes are more likely to get news on both mobile and desktop or laptop computers. U.S. adults with a college degree, for instance, are more likely to often get news on mobile than those with a high school education or less (65% vs. 49%).",complex
mturk_charts/no_data/multi_col/2490.png,"In a survey conducted in fall 2018, more than four-in-five Lebanese adults (84%) said they use WhatsApp, the highest rate among 11 emerging economies included in the survey. It is the most commonly used social network or messaging platform in Lebanon, beating out Facebook, Instagram and other platforms.",good
mturk_charts/no_data/multi_col/2491.png,"In a survey conducted in fall 2018, more than four-in-five Lebanese adults (84%) said they use WhatsApp, the highest rate among 11 emerging economies included in the survey. It is the most commonly used social network or messaging platform in Lebanon, beating out Facebook, Instagram and other platforms.",good
mturk_charts/no_data/multi_col/2492.png,"A subsequent survey in summer 2019 found widespread discontent on a number of other questions. Around two-thirds or more of Lebanese adults said they are pessimistic about the future of their country’s political system (76%); disagree that the government is run for the benefit of all people (72%); are dissatisfied with how their country’s democracy is working (67%); and do not think most elected officials in their country care what people like them think (66%).",good
mturk_charts/no_data/multi_col/2493.png,"In the Center’s 2019 poll, 84% of Lebanese said their country’s economic situation is bad, with half saying the economic situation is very bad. And about half (49%) said that children today will be worse off financially than their parents. In addition to widespread doubt surrounding economic conditions in general, 72% of Lebanese said they are pessimistic that the gap between the rich and poor will improve in the future. A similar share expressed concern about the future of the labor market: 68% said they doubt that well-paying jobs will be available in the future.",good
